price_band,n,mae,rmse,bias,median_price,rmape
Premium,102,3689.067549281057,6640.077198139661,-972.519515471642,57994.0,0.06361119338692031
Mid-range,482,2773.5074875924533,3688.346132612623,857.8781139276231,35968.0,0.07711041724845566
Value,841,2027.0699561766594,2900.6586375439856,1285.8044756751458,22159.0,0.09147840408757883
Budget,565,1497.39123927337,2022.5112802821818,1294.4865960575878,8993.0,0.1665063092709185
