mileage_band,n,mae,rmse,bias,median_price,rmape
0-10k,528,2709.6936180557504,4230.207796907359,363.297930387829,33197.5,0.0816234239944499
30k-60k,559,2481.9139690584034,3950.864663268459,1610.8391884470004,23495.0,0.10563583609527148
60k-100k,309,2102.984965044031,3142.916211838293,972.8874680681893,15094.0,0.1393258887666643
10k-30k,327,1727.0161811786693,2579.567090749263,757.641617813567,23523.0,0.0734181941580015
100k-150k,170,1429.630434213125,1776.150629726354,1138.7410452039755,6820.0,0.20962323082303885
150k+,107,1392.4003070035797,1656.1190639913423,1356.8135058292526,4999.0,0.2785357685544268
