age_band,n,mae,rmse,bias,median_price,rmape
12y+,110,1973.7751645363082,5290.029800251026,816.6885961504626,4449.5,0.44359482290960967
3-5y,210,2456.739117251845,3663.6422767267863,725.3187585704834,17995.0,0.136523429688905
0-1y,609,2406.9628890701583,3511.4679032900026,341.930502762001,32195.0,0.07476200928933556
1-3y,699,2228.8508293549144,3499.2979123770515,1505.7959728306798,24000.0,0.09286878455645477
5-8y,214,1953.2750544514151,2770.079503693388,1274.2369419157208,12451.5,0.1568706625267169
8-12y,158,1581.3311241103363,1987.887668117245,1289.8102621274636,6499.0,0.24331914511622346
