body_type,n,mae,rmse,bias,median_price,rmape
Coupe,66,4692.356703989141,9679.462812386948,-1017.3815218315069,25897.5,0.181189562853138
SUV / Crossover,1014,2204.9579509070677,3125.907811550884,1005.919990072033,26014.5,0.08475880570093862
Sedan,614,2069.7334170706,3054.0586146299465,1110.2726666451847,16977.0,0.12191396695945102
Pickup Truck,117,2042.3947477851896,2809.7589590091,1027.5251372875794,34521.0,0.05916383499276352
Minivan,57,1950.3285878545655,2514.206457764106,1472.8784667807085,16417.0,0.11879932922303499
Wagon,39,1532.3355864775872,2065.832595253734,720.7829321459593,13346.0,0.11481609369680708
Hatchback,50,956.030086797578,1212.8120081672375,485.0883325497556,10326.0,0.09258474596141565
