"price","year","age_years","listed_date","mileage","make_name","model_name","trim_name","body_type","transmission","fuel_type","wheel_system","engine_disp_l","cylinders_num","engine_type_std","fleet","frame_damaged","has_accidents","fleet_unknown","frame_damaged_unknown","has_accidents_unknown","disp_missing","etype_missing"
"25000.0","2016.0","4.0","2020-09-03","53326.0","Ford","Explorer","Sport 4WD","SUV / Crossover","A","Gasoline","AWD","3.5","6.0","V6","False","False","False","False","False","False","False","False"
"20439.0","2019.0","1.0","2020-08-03","4742.0","Chevrolet","Equinox","1.5T LT FWD","SUV / Crossover","A","Gasoline","FWD","1.5","4.0","I4","False","False","False","False","False","False","False","False"
"32195.0","2019.0","0.0","2019-06-20","12.0","Mazda","MAZDA3","Premium Sedan FWD","Sedan","A","Gasoline","FWD","2.5","4.0","I4","False","False","False","False","False","False","False","False"
"56200.0","2018.0","2.0","2020-01-17","37415.0","Lincoln","Navigator","Reserve 4WD","SUV / Crossover","A","Gasoline","4WD","3.5","6.0","V6","False","False","False","False","False","False","False","False"
"22159.0","2018.0","2.0","2020-08-28","23175.0","Subaru","Outback","2.5i Premium AWD","Wagon","CVT","Gasoline","AWD","2.5","4.0","H4","False","False","False","False","False","False","False","False"
"18500.0","2015.0","5.0","2020-08-20","81120.0","BMW","4 Series","435i xDrive Gran Coupe AWD","Sedan","A","Gasoline","AWD","3.0","6.0","I6","False","False","False","False","False","False","False","False"
"58655.0","2020.0","0.0","2020-03-06","7.0","Land Rover","Range Rover Evoque","P250 SE AWD","SUV / Crossover","A","Gasoline","AWD","2.0","4.0","I4","False","False","False","False","False","False","False","False"
"33700.0","2019.0","1.0","2020-07-05","42942.0","Jeep","Grand Cherokee","Trailhawk 4WD","SUV / Crossover","A","","4WD","5.7","","V6","False","False","False","False","False","False","False","True"
"80380.0","2020.0","0.0","2020-01-23","13.0","Land Rover","Discovery","Td6 HSE Luxury AWD","SUV / Crossover","A","Diesel","AWD","3.0","6.0","V6 DIESEL","False","False","False","False","False","False","False","False"
"58200.0","2018.0","2.0","2020-07-13","21803.0","Mercedes-Benz","GLE-Class","GLE AMG 43 4MATIC Coupe","SUV / Crossover","A","Gasoline","AWD","3.0","6.0","V6","False","False","False","False","False","False","False","False"
"43859.0","2016.0","4.0","2020-08-24","45058.0","Cadillac","Escalade","Luxury 4WD","SUV / Crossover","A","Gasoline","4WD","6.2","8.0","V8","False","False","False","False","False","False","False","False"
