make_name,body_type,n,MAE,RMSE,rMAPE,bias
Kia,SUV / Crossover,93,1310.5265232382283,1820.8290862037154,0.05809352710684994,333.5740253890309
INFINITI,Sedan,4,1107.316720068683,1796.0622532417635,0.0590750013879018,1107.316720068683
Nissan,Sedan,32,1414.2674036504736,1773.0139835852212,0.12451737832346052,987.5279150032982
Mazda,Minivan,1,1755.9500582835135,1755.9500582835135,0.3193217054525393,1755.9500582835135
Mazda,SUV / Crossover,173,1325.1909367854962,1716.879211495101,0.04588629979166372,-897.0234642451857
Chevrolet,Sedan,42,1347.7010813125196,1680.8601775041066,0.16263772097851517,1133.056705033041
Mazda,Hatchback,7,1135.7184572174422,1650.0734087392043,0.0693720294215171,-513.1432929782038
Jeep,Pickup Truck,1,1620.899262473351,1620.899262473351,0.03343714956830908,-1620.899262473351
Honda,SUV / Crossover,22,1337.046140342839,1620.1423164781827,0.16148677617421875,986.6587553436835
Honda,Sedan,39,1305.5792537814118,1615.4983616739262,0.1257406086726298,1193.9067588249975
Lexus,Wagon,1,1613.4624009327854,1613.4624009327854,0.17937325191025963,1613.4624009327854
GMC,Van,1,1608.1576497760789,1608.1576497760789,0.3216958691290416,1608.1576497760789
Kia,Minivan,13,1339.9497428738796,1584.9794826548664,0.07074343948719287,694.6901085094861
Mitsubishi,Hatchback,1,1560.7172411717838,1560.7172411717838,0.20812338194049657,1560.7172411717838
Honda,Minivan,9,1062.114407965429,1559.7361393179915,0.11219261269821001,1059.068818579907
Jaguar,Sedan,3,1506.0882048248266,1542.8225706713022,0.34952654798610566,1506.0882048248266
Volkswagen,Sedan,17,1110.4596714199852,1535.7023017536746,0.11118761450558544,336.16613679187276
Maserati,SUV / Crossover,2,1398.1260108107235,1523.4971080172897,0.03696562940407575,1398.1260108107235
INFINITI,SUV / Crossover,9,1448.0964268325463,1509.881319318912,0.08905531261921786,153.84557126941388
Lexus,SUV / Crossover,3,931.7232470473851,1505.4018104625754,0.02593841047290231,931.7232470473851
Acura,Sedan,8,1249.5851293469755,1499.6019174515372,0.13043919249564012,812.2385836806366
Lincoln,SUV / Crossover,4,1014.3429792188044,1488.3081772912178,0.027251048750703034,650.1687178964303
Mercury,Sedan,4,1119.3696056772378,1451.2146519377004,0.42789560443219704,1070.1033931380034
GMC,Pickup Truck,5,1035.740290994382,1422.9956876105887,0.03838523091998697,657.9055438843279
Dodge,Wagon,1,1414.0971038610032,1414.0971038610032,0.3143136483354086,1414.0971038610032
Volkswagen,Hatchback,5,1360.7543470298108,1389.1648962210627,0.1327915528352681,833.0952022728401
Chevrolet,Pickup Truck,47,1095.8781586295859,1387.5970398950487,0.04389495419758671,644.0717487398126
Kia,Sedan,83,1004.300556643343,1384.3062184969865,0.05466299656340309,-22.63852187540447
Kia,Wagon,14,955.0222499517291,1330.4913637764073,0.08071230820296467,-424.1207835248888
Volkswagen,Minivan,2,1026.024238191641,1327.1603425434107,0.10340441209226828,-841.8009488371977
Toyota,Hatchback,11,1130.340087736553,1257.4760345230507,0.15949628982602285,907.2908491130994
Ford,Hatchback,5,1067.3222266255489,1208.3150577941274,0.12428019535993393,576.78798480847
Toyota,Sedan,28,983.3112770483591,1206.2225417120321,0.14922637676634967,398.6725549365756
Subaru,Hatchback,4,924.3512634688223,1190.991239439907,0.37510874359774904,741.0402160365074
Honda,Coupe,8,1011.7740698487082,1185.8823968025445,0.2841810773239126,981.0412902722362
Scion,Hatchback,1,1182.9999915561011,1182.9999915561011,0.4733893523633858,1182.9999915561011
Volvo,SUV / Crossover,2,1173.3225433063799,1174.0503734465824,0.3028018422806351,1173.3225433063799
Mitsubishi,Coupe,1,1162.8005033267568,1162.8005033267568,0.5816910972119844,1162.8005033267568
Chevrolet,Hatchback,6,785.8528574614825,1095.7154995301871,0.23747866526540687,760.8515080480055
Nissan,Convertible,1,1094.898821849336,1094.898821849336,0.136879462664,1094.898821849336
Ford,Van,5,936.8735731564306,1086.224948102161,0.14123763535234574,936.8735731564306
Volvo,Wagon,2,785.2978737981894,1020.1908299129025,0.101370642198128,785.2978737981894
MINI,Wagon,1,1006.2982055694811,1006.2982055694811,0.05757842911080169,1006.2982055694811
INFINITI,Coupe,2,864.5427858134713,980.4325201595909,0.11585389949003146,864.5427858134713
Buick,SUV / Crossover,3,846.7436655716925,968.6425763934651,0.05632698740167267,155.46631098328544
Subaru,Sedan,14,766.8512633522641,965.7119297771965,0.058609498670024976,611.6274926214207
Hyundai,Hatchback,3,711.6071367091369,841.1222900117975,0.07955080645425233,-56.92406909249166
Ford,Wagon,1,795.0905303884515,795.0905303884515,0.2891238292321642,795.0905303884515
Mitsubishi,SUV / Crossover,2,782.8245159347334,791.7638499279839,0.04454763587034443,782.8245159347334
Honda,Hatchback,2,652.3381899022011,769.2584103200852,0.15124573560249735,407.6927615782556
Nissan,Pickup Truck,1,675.9412918896469,675.9412918896469,0.06760088927789248,-675.9412918896469
Saab,Sedan,1,480.26340082689694,480.26340082689694,0.19210536033075878,480.26340082689694
Chrysler,Wagon,1,379.53210585506076,379.53210585506076,0.16868093593558256,379.53210585506076
Mitsubishi,Sedan,1,215.4186393983564,215.4186393983564,0.07430791286593873,215.4186393983564
MINI,Hatchback,1,196.84902325803068,196.84902325803068,0.03281363948291893,196.84902325803068
Kia,Hatchback,4,121.19126535400346,146.86360494273652,0.007666178484436407,-74.4112704036138
Ford,Convertible,1,134.6407101458317,134.6407101458317,0.009827789061739539,-134.6407101458317
Acura,Coupe,1,71.93980206098331,71.93980206098331,0.014390838579912645,-71.93980206098331
