make_name,body_type,n,MAE,RMSE,rMAPE
GMC,Pickup Truck,9416,2453.705053307413,3429.861681135465,0.06826427544770776
Land Rover,,5,2297.626025084409,3405.713391806764,0.03814486240636465
Ford,Convertible,1220,2067.0554067059375,3401.190969352146,0.08274942191104859
Cadillac,SUV / Crossover,9158,2362.559879903554,3360.1047348201537,0.05526890363765037
BMW,,39,2815.6629603094907,3281.085874267029,0.03609969528787587
RAM,Van,2165,2387.962540159945,3279.8894187426345,0.08482211901629516
BMW,Sedan,7919,2200.8138225123444,3222.2780445776,0.07776219056559917
Mercedes-Benz,SUV / Crossover,7409,2279.425212809337,3199.0635054046397,0.0593963980300251
Tesla,Sedan,408,2333.6350018759153,3192.7128335356883,0.05093138493148242
Lincoln,SUV / Crossover,7471,2297.700521045176,3187.298259424441,0.057174403775173695
Chevrolet,Pickup Truck,27888,2259.463171167708,3150.9769121255495,0.06892421102512336
Mercedes-Benz,Sedan,7611,2203.24323369122,3150.63470279151,0.08036171074410671
Chevrolet,Van,2656,1996.549357300826,3126.596695736862,0.09733409517528584
Ford,Minivan,53,1436.9626813248226,3091.8878190638416,0.31296058461858955
Audi,Convertible,326,2029.3740800798323,3082.126617660476,0.0830993019340294
Volvo,SUV / Crossover,3643,2035.1181063524227,3069.4474465653575,0.057268276797205524
Alfa Romeo,Sedan,894,2321.152349080315,3063.173063445296,0.0572378200372418
Buick,,1,3046.4800040629016,3046.4800040629016,0.10505465719724479
Alfa Romeo,SUV / Crossover,788,2306.139808366104,3034.980080436526,0.053587399379518695
Cadillac,Coupe,243,1881.5143005528269,3027.5772438178656,0.09188795184879667
Ford,Van,7596,1936.4446669565064,2963.8314705850103,0.07594100550805223
Volvo,Sedan,2183,1657.559352224695,2953.3545533774927,0.06968381759324753
BMW,SUV / Crossover,6693,2102.174848054707,2945.126347028884,0.06427514350404061
Bentley,,2,2762.597382255746,2840.159986020698,0.08730362712085066
Geo,Sedan,1,2806.7903758466628,2806.7903758466628,0.7034562345480357
Volkswagen,,19,2350.2083500058397,2743.304747590896,0.08228349343056217
Dodge,Minivan,5989,1599.4650519091,2739.745820421067,0.09396076207521291
Dodge,Pickup Truck,1307,1929.2125360511322,2732.5842632390118,0.18463494388508084
Buick,Wagon,49,2018.6586775204698,2725.3029981357454,0.09637027095935599
BMW,Wagon,558,1886.3270265118053,2682.329005714923,0.08266121880667275
Mazda,,2,2664.00790077107,2675.4802083683376,0.1002742276991942
Volvo,Wagon,797,1839.7453742854775,2675.3033092919754,0.07673767452021843
Nissan,Pickup Truck,3039,1923.5156028751449,2672.913280388955,0.07059734822876518
Cadillac,Sedan,4966,1837.4352678767823,2667.5774786174748,0.06846319092851214
Chrysler,Minivan,6919,1816.198639055262,2659.04017100216,0.07649571933417541
